Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
4/1/2023,New York,6064,4527.24,1364.11,2540.53,72.92
4/1/2023,Los Angeles,3164,11866.8,3111.39,4994.22,26.7
4/1/2023,Chicago,4269,1619.1,3202.21,2387.36,89.98
4/1/2023,Houston,3582,1647,2604.61,1688.45,89.02
4/1/2023,San Francisco,6716,17944.38,4647.78,24706.95,35.74
4/1/2023,Miami,3400,9267.81,4274.72,12452.22,52.57
4/1/2023,Seattle,2645,2463.77,492.83,2913.15,57.95
4/1/2023,Denver,6870,4114.8,1247.08,4431.29,54.76
4/1/2023,Boston,5027,11001.34,2418.56,10792.22,28.54
4/1/2023,Dallas,2346,8328.68,2043.38,8400.04,32.4
4/1/2023,Atlanta,3294,7734.34,3867.69,2425.43,55.74
4/1/2023,Phoenix,2343,4502.79,3596.01,5402.41,69.99
4/1/2023,Las Vegas,5660,1761.19,2745.26,716.62,84.9
4/1/2023,San Diego,6547,10147.67,3914.61,7787.5,45.12
4/1/2023,Philadelphia,3357,3803.5,678.28,2447.54,43.65
4/2/2023,New York,5002,29987.8,4171.45,8411.1,64.09
4/2/2023,Los Angeles,6589,12442.24,3096.51,7128.11,39.26
4/2/2023,Chicago,2103,18636.62,9893.31,26941.14,58.7
4/2/2023,Houston,2784,1576.51,531.2,2186.49,73.53
4/2/2023,San Francisco,6683,17309.15,5119.57,19956.43,23.24
4/2/2023,Miami,6644,2305.38,989.37,2069.83,63.64
4/2/2023,Seattle,2331,13208.93,4592.44,13679.56,51.93
4/2/2023,Denver,5178,2455.32,1205.93,2615.55,70.21
4/2/2023,Boston,1235,1288.53,1427.04,1387.3,80.86
4/2/2023,Dallas,1108,6675.81,1938.9,4042.18,20.96
4/2/2023,Atlanta,6032,5451.07,4580.82,5707.87,76.64
4/2/2023,Phoenix,4289,11771.45,4700.94,9025.87,51.49
4/2/2023,Las Vegas,2723,5467.98,1052.1,2752.52,43.27
4/2/2023,San Diego,2831,4750.85,3869.6,6173.15,73.56
4/2/2023,Philadelphia,2458,17579.23,3025.73,22601.42,45.47
4/3/2023,New York,3060,7408.18,3217.42,1590.26,76.99
4/3/2023,Los Angeles,5217,2335.82,1599.62,769.82,85.81
4/3/2023,Chicago,4481,30665.57,8476.99,11991.14,21.25
4/3/2023,Houston,1274,18364.67,3404.94,20788.29,54.62
4/3/2023,San Francisco,3570,6018.68,3003.01,2056.01,54.3
4/3/2023,Miami,5148,11904.09,3796.25,4819.36,29.73
4/3/2023,Seattle,3058,13003.3,6547.99,15984.95,65.21
4/3/2023,Denver,3164,7467.41,4089.15,9915.05,73.09
4/3/2023,Boston,5070,954.88,1744.91,592.69,86.98
4/3/2023,Dallas,5220,2689.06,2324.21,1938.74,80.84
4/3/2023,Atlanta,3158,3227.78,823.04,2445.68,67.94
4/3/2023,Phoenix,2121,3670.51,5311.93,4746.8,84.86
4/3/2023,Las Vegas,4304,13101.86,5405.02,6972.5,47.82
4/3/2023,San Diego,3429,3086.73,1790.95,2762.25,65
4/3/2023,Philadelphia,6625,17411.78,3942.51,22843.38,35.1
