Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
8/1/2024,New York,33987.58,9866.43,11108.84,13244.01,77.5
8/1/2024,Los Angeles,2846.81,1821.2,404.09,1597.24,60.99
8/1/2024,Chicago,11224.41,2792.6,1497.62,3871.32,80.08
8/1/2024,Houston,26536.46,33944.55,14064.55,18481.97,43.88
8/1/2024,San Francisco,19803.36,16293.65,4446.29,9897.34,54.86
8/1/2024,Miami,18701.8,14967.21,6261.79,18472.34,55.55
8/1/2024,Seattle,37883.29,18497.72,6793.03,23208.48,67.19
8/1/2024,Denver,9486.19,965.82,1825.46,1086.96,90.76
8/1/2024,Boston,12608.02,1439.99,1346.54,904.21,89.75
8/1/2024,Dallas,15344.35,9586.66,2529.49,5232.28,61.55
8/1/2024,Atlanta,24567.58,19505.43,8325.29,16631.78,55.74
8/1/2024,Phoenix,1478.04,5740.97,1618.77,4244.99,20.47
8/1/2024,Las Vegas,1580.62,5227.39,1961.32,8756.19,23.22
8/1/2024,San Diego,46508.12,12925.89,14257.28,9761,78.25
8/1/2024,Philadelphia,4586.89,2269.12,1132.86,3213.27,66.9
8/1/2024,Portland,2482.01,3262,1245.9,909.63,43.21
8/1/2024,Austin,6122.69,16160.32,5079.76,15345.31,27.48
8/1/2024,Detroit,3811.81,12049.2,2189.48,21068.64,24.03
8/1/2024,Charlotte,8351.81,6422.2,3852.74,3749.47,56.53
8/1/2024,Nashville,38289.09,2697.92,9489.11,1735.53,93.42
8/1/2024,Baltimore,13074.92,14149.09,3779.57,23636.74,48.03
8/1/2024,Indianapolis,20948.78,2812.23,3121.52,970.16,88.16
8/1/2024,Orlando,7926.94,5948.07,2183.63,8591.04,57.13
8/1/2024,San Antonio,4141.21,763.8,831.91,1134.3,84.43
8/1/2024,Columbus,36692.71,15836.3,12639.7,28050.41,69.85
8/2/2024,New York,19823.45,3346.81,3377.96,6006.83,85.56
8/2/2024,Los Angeles,3968.36,1380.9,733.22,1710.81,74.19
8/2/2024,Chicago,13272.12,6071.14,5653.04,5709.11,68.61
8/2/2024,Houston,6677.37,6310.89,1262.01,8562.85,51.41
8/2/2024,San Francisco,3320.37,1962.89,1319.73,1376.71,62.85
8/2/2024,Miami,21008.08,16419.18,9065.32,18667.27,56.13
8/2/2024,Seattle,7529.29,6479.97,1030.04,2961.82,53.75
8/2/2024,Denver,14178.35,2150.91,4765.15,2216.54,86.83
8/2/2024,Boston,6650.16,1711.1,1622.06,493.05,79.54
8/2/2024,Dallas,31561.96,14852.3,4991.06,9912.16,68
8/2/2024,Atlanta,2453.15,7231.11,2247.27,2584.65,25.33
8/2/2024,Phoenix,7592.21,1207.05,1274.41,1213.96,86.28
8/2/2024,Las Vegas,14786.29,5147.97,3800.82,7347.51,74.18
8/2/2024,San Diego,15765.94,949.32,2270.42,441.89,94.32
8/2/2024,Philadelphia,13614.83,3997.43,4957.86,3224.5,77.3
8/2/2024,Portland,8088.58,23526.68,5598.84,6818.42,25.58
8/2/2024,Austin,6457.87,3727.39,1959.25,2686.54,63.4
8/2/2024,Detroit,14539.32,3522.94,5085.36,4736.64,80.5
8/2/2024,Charlotte,16083.43,27958.83,10336.48,33953.42,36.52
8/2/2024,Nashville,22496.42,28265.84,7660.73,12506.52,44.32
8/2/2024,Baltimore,22882.24,18266.02,7314.11,29826.22,55.61
8/2/2024,Indianapolis,3289.3,1981.96,790.05,474.21,62.4
8/2/2024,Orlando,8740.58,32379.68,3892.31,21341.21,21.26
8/2/2024,San Antonio,20222.61,22091.65,6478.13,6654,47.79
8/2/2024,Columbus,15057.23,28309.03,12774.52,21760.41,34.72
8/3/2024,New York,9516.47,6453.46,1262.76,3528.39,59.59
8/3/2024,Los Angeles,13752.15,16539.78,3102.39,20447.79,45.4
8/3/2024,Chicago,4580.67,1184.26,1591.17,1294.58,79.46
8/3/2024,Houston,5074.5,879.43,1429.85,927.95,85.23
8/3/2024,San Francisco,14349.64,1500.29,4072.78,2335.31,90.53
8/3/2024,Miami,11572.83,3186.1,1395.94,3540.55,78.41
8/3/2024,Seattle,22952.5,8626.43,5998.61,7867.57,72.68
8/3/2024,Denver,13762.7,19305.23,4465.77,18753.24,41.62
8/3/2024,Boston,7504.42,2369.51,1003.67,2814.89,76
8/3/2024,Dallas,4248.25,12007.68,4701.05,18626.84,26.13
8/3/2024,Atlanta,6356.8,8566.13,3242.01,8256.94,42.6
8/3/2024,Phoenix,12836.29,7134.64,4425.04,10562.97,64.27
8/3/2024,Las Vegas,22059.5,33709.43,12970.14,34310.9,39.56
8/3/2024,San Diego,5084.91,5414.02,2945.25,2019.67,48.43
8/3/2024,Philadelphia,3957.95,1916.98,1204.4,2613.03,67.37
8/3/2024,Portland,17314.84,15114.09,4959.43,6911.26,53.39
8/3/2024,Austin,11373.01,34200.92,6913.57,40174.54,24.96
8/3/2024,Detroit,42079.22,5609.71,8687.02,9239.08,88.24
