Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
12/1/2023,New York,6918.63,6064.71,1302.07,3530.31,53.29
12/1/2023,Los Angeles,3801.47,8854.87,1600.06,10161.86,30.04
12/1/2023,Chicago,3352.98,6797.36,1291.77,6932.22,33.03
12/1/2023,Houston,6725.08,3729.26,1582.95,5482.51,64.33
12/1/2023,San Francisco,5231.4,3431.94,2080.39,2938.34,60.39
12/1/2023,Miami,9799.11,6473.23,2977.02,8361.1,60.22
12/1/2023,Seattle,20658.57,24659.77,9903.72,30094.31,45.59
12/1/2023,Denver,18067.3,21671.04,6517.92,23012.11,45.47
12/1/2023,Boston,3343.36,5357.98,1544.69,2227.95,38.42
12/1/2023,Dallas,5374.3,18715.04,4872.95,13599.32,22.31
12/1/2023,Atlanta,12551.36,2716.66,1187.4,1755.12,63.74
12/1/2023,Phoenix,9443.75,6892.59,1810.57,2580.41,57.81
12/1/2023,Las Vegas,11537.82,13097.52,4594.38,10366.12,46.83
12/1/2023,San Diego,10220.05,1304.29,2040.2,529.43,88.68
12/1/2023,Philadelphia,6774.54,21588.8,5505.58,15906.93,23.88
12/2/2023,New York,14436.54,32990.3,5225.54,41842.26,30.44
12/2/2023,Los Angeles,13725.53,24577.31,4635.92,10690.57,35.83
12/2/2023,Chicago,15314.91,2127.93,1871.62,1787.35,87.8
12/2/2023,Houston,30073.15,9161.69,5131.01,8126.41,76.65
12/2/2023,San Francisco,3219.46,12516.38,1716.62,12031,20.46
12/2/2023,Miami,13338.28,4328.56,2596.08,4512.64,75.5
12/2/2023,Seattle,9371.92,5015.92,1864.44,6460.77,65.14
12/2/2023,Denver,5153.12,4753.72,2072.93,2993.86,52.02
12/2/2023,Boston,12009.46,8977.38,2293.09,4730.12,57.22
12/2/2023,Dallas,19240,5314.84,4826.15,2790.28,78.36
12/2/2023,Atlanta,10240.34,2434.67,623.4,1014.95,59.79
12/2/2023,Phoenix,22725.87,15484.97,5770.51,22486.76,59.47
12/2/2023,Las Vegas,9473.53,5162.31,3021.78,3924.44,64.73
12/2/2023,San Diego,11966.27,20567.57,7818.72,9721.02,36.78
12/2/2023,Philadelphia,15774.65,13779.19,6638.06,4405.49,53.38
12/3/2023,New York,6168.53,5375.75,1348.52,2752.32,53.43
12/3/2023,Los Angeles,5896.19,10249.09,3714.12,10324.79,36.52
12/3/2023,Chicago,32656.61,10942.67,7221.09,7274.11,74.9
12/3/2023,Houston,11593.64,2327.64,2942.94,3091.01,83.28
12/3/2023,San Francisco,2547.54,7081.74,1598.4,7311.04,26.46
12/3/2023,Miami,6553.82,4783.46,1946.35,3009.02,57.81
12/3/2023,Seattle,10650.83,3562.45,3212.41,1276.22,74.94
12/3/2023,Denver,3817.81,13511.47,3070.93,19084.73,22.03
12/3/2023,Boston,9622.92,2340.36,2556.92,2181.86,80.44
12/3/2023,Dallas,19338.54,19379.74,8681.4,7274.11,49.95
12/3/2023,Atlanta,12624.76,17098.9,3115.52,19394.36,21.96
12/3/2023,Phoenix,2871.76,8338.52,1793.81,8202.46,25.62
12/3/2023,Las Vegas,20562.94,2952.34,4472.24,1074.25,87.45
12/3/2023,San Diego,5829.59,8387.69,1652.72,11502.14,41
12/3/2023,Philadelphia,24866.46,20747.82,7814.25,17389.34,54.51
12/4/2023,New York,12620.2,2196.51,3373.83,2962.65,85.18
12/4/2023,Los Angeles,3298.48,6554.23,2452.78,3196.25,33.48
12/4/2023,Chicago,17183.38,8436.33,2880.05,3472.04,67.07
12/4/2023,Houston,6510.84,23058.87,3917,12008.9,22.02
12/4/2023,San Francisco,8043.48,1270.23,2231.95,704.08,86.36
12/4/2023,Miami,7523.19,12442.52,3618.32,4372.75,37.68
12/4/2023,Seattle,7443.92,4383.79,2082.76,3825.39,62.94
12/4/2023,Denver,11701.05,3444.66,3079.14,1345.12,77.26
12/4/2023,Boston,12808.61,13170.1,3003.54,10368.78,49.3
12/4/2023,Dallas,6589.55,4293.16,1567.12,5357.25,60.55
12/4/2023,Atlanta,29628.16,16111.63,7135.82,7270.19,45.25
12/4/2023,Phoenix,2029.13,5184.58,662.19,2367.95,28.13
12/4/2023,Las Vegas,8258.48,2141.23,1251.44,2350.2,79.41
12/4/2023,San Diego,10449.5,3470.21,2416.63,3801.18,75.07
12/4/2023,Philadelphia,6074.08,7063.63,1999.32,8429.24,46.23
12/5/2023,New York,10354.54,18763.4,5806.06,17546.33,35.56
12/5/2023,Los Angeles,33268.09,14056.85,9255.72,14366,70.3
12/5/2023,Chicago,6546.22,4711.72,2297.67,6350.09,58.15
12/5/2023,Houston,7121.68,10911.26,1708.26,4517.42,39.49
12/5/2023,San Francisco,5045.93,8259.01,2563.5,10217.09,37.93
12/5/2023,Miami,25522.35,7854.59,7997.22,4741.07,76.47
12/5/2023,Seattle,9896.86,20275.08,4779.81,13299.46,32.8
12/5/2023,Denver,11904.96,13917.98,2485.82,13113.4,46.1
12/5/2023,Boston,38016.34,11285.6,7309.62,12376.93,77.11
12/5/2023,Dallas,25678.98,7825.96,8228.27,5807.12,76.64
12/5/2023,Atlanta,20932.88,6762.5,2244.77,2828.63,57.01
12/5/2023,Phoenix,9833.96,1126.98,2679.63,610.2,89.72
12/5/2023,Las Vegas,5785.51,12922.43,2329.97,12855.52,30.93
12/5/2023,San Diego,3876.3,11735.64,1771.01,6762.85,24.83
12/5/2023,Philadelphia,3361.96,7937.98,1886.95,7074.44,29.75
12/6/2023,New York,12102.18,12916.9,2242.06,9427.25,48.37
12/6/2023,Los Angeles,6640.93,3726.15,2434.26,3246.61,64.06
12/6/2023,Chicago,21568.4,21509.68,10209.85,21215.97,50.07
12/6/2023,Houston,10234.28,3753.8,2795.71,4995.55,73.16
12/6/2023,San Francisco,17589.03,3290.05,1904.97,3351.92,84.24
12/6/2023,Miami,7581.48,5685.6,2148.37,4703.77,57.15
12/6/2023,Seattle,3149.13,4615.95,1802.67,4373.46,40.56
12/6/2023,Denver,11329.04,11740.04,5139.3,8185.18,49.11
12/6/2023,Boston,15012.01,1813.07,1833.57,2485.17,89.22
12/6/2023,Dallas,38130.38,6051.7,7155.07,8083.42,86.3
12/6/2023,Atlanta,19621.74,990.21,2239.25,1319.12,89.35
12/6/2023,Phoenix,14321.54,25549.54,3591.23,31758.62,35.92
12/6/2023,Las Vegas,9734.53,14627.55,5423.43,12954.7,39.96
