Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
2/1/2023,New York,13217,10219.34,3915.62,11256.95,56.4
2/1/2023,Los Angeles,4844.8,4293.54,2175.1,5837.95,53.02
2/1/2023,Chicago,13825.88,10733.46,4235.26,11917.69,56.3
2/1/2023,Houston,15128.66,13992.68,3138.95,20501.87,51.95
2/1/2023,San Francisco,11323.18,4738.16,4013.48,6572.62,70.5
2/1/2023,Miami,12393.58,4813.76,2614.57,3589.76,72.02
2/1/2023,Seattle,19264.56,7947.78,5400.26,3637.37,70.79
2/1/2023,Denver,10543.92,6869.42,3070.95,4700.68,60.55
2/1/2023,Boston,9287.26,14618.08,3911.62,12020.35,38.85
2/1/2023,Dallas,3763.03,5940.31,1941.73,8274.9,38.78
2/1/2023,Atlanta,18958.49,9066.85,6238.72,5398.24,67.65
2/1/2023,Phoenix,28627.4,7582.94,6439.94,3466.52,79.06
2/1/2023,Las Vegas,34040.63,10570.71,6262.28,6191.82,76.3
2/1/2023,San Diego,14284.46,35858.88,7386.76,33615.09,28.49
2/1/2023,Philadelphia,11199.07,2446.27,3231.24,3301.25,82.07
2/2/2023,New York,14592.38,3347.46,4244.59,2882.17,81.34
2/2/2023,Los Angeles,24662.79,4507.05,4869.33,3339.71,84.55
2/2/2023,Chicago,7853.28,16310.56,4070.08,13639.48,32.5
2/2/2023,Houston,22959.02,11866.82,4885.29,9259.6,65.93
2/2/2023,San Francisco,8308.22,18377.62,3563.97,9804.89,31.13
2/2/2023,Miami,37531.59,6379.25,9947.67,6878.44,85.47
2/2/2023,Seattle,9161.88,7793.96,2000.5,4649.6,54.03
2/2/2023,Denver,9681.2,14277.64,2430.73,8020.92,40.41
2/2/2023,Boston,9494.87,7456.97,1560.73,6949.6,56.01
2/2/2023,Dallas,23564.45,5598.39,3483.98,5389.54,80.8
2/2/2023,Atlanta,6721.61,25578.23,3309.67,26903.86,20.81
2/2/2023,Phoenix,19583.97,15739.87,3827.43,14263.44,55.44
2/2/2023,Las Vegas,4997.31,3105.53,1118.92,4364.19,61.67
2/2/2023,San Diego,4836.26,4378.58,1959.73,2035.63,52.48
2/2/2023,Philadelphia,14849.17,17805.67,5082.06,7336.96,45.47
