Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
1/1/2024,New York,4948.75,424.26,1157.27,225.34,92.1
1/1/2024,Los Angeles,5522.8,14258.21,2610.01,6861.32,27.92
1/1/2024,Chicago,6616.67,3975.34,2781.97,6523.29,62.47
1/1/2024,Houston,22666.53,20340.48,10219.98,28139.5,52.7
1/1/2024,San Francisco,12917.84,7400.17,3046.92,11091.48,63.58
1/1/2024,Miami,2259.49,2647.52,1005.38,3569.06,46.05
1/1/2024,Seattle,7996.55,911.46,1000.67,599.36,89.77
1/1/2024,Denver,29175.64,17360.37,10402.8,10631.93,62.69
1/1/2024,Boston,7161.18,14819.83,5440.92,22569.6,32.58
1/1/2024,Dallas,3556.96,2765.05,1132.36,1033.26,56.26
1/1/2024,Atlanta,8190.42,12877.59,3203.38,16090.85,38.88
1/1/2024,Phoenix,2101.33,2924.68,516.57,4293.05,41.81
1/1/2024,Las Vegas,24240.31,5514.7,2149.56,7607.48,81.47
1/1/2024,San Diego,6026.14,4173.87,2095.53,4840.04,59.08
1/1/2024,Philadelphia,4307.81,842.2,1130.28,937.91,83.65
1/1/2024,Portland,2892.91,10329.1,2833.76,3108.63,21.88
1/1/2024,Austin,8001.8,1229.21,2759.08,1086.35,86.68
1/1/2024,Detroit,4073.57,6828.44,2848.47,10126.24,37.37
1/1/2024,Charlotte,13185.02,42900.99,15599.16,67561.65,23.51
1/1/2024,Nashville,12520.21,2022.8,3437.87,3052.38,86.09
1/1/2024,Baltimore,8228.6,4198.41,1259.33,2102.21,66.22
1/1/2024,Indianapolis,19954.38,5389.63,2543.58,3938.66,78.73
1/1/2024,Orlando,5940.46,1137.55,872.17,900.52,83.93
1/1/2024,San Antonio,8739.53,22116.48,8861.53,27191.14,28.32
1/1/2024,Columbus,9422,34980.01,4047.5,49832.84,21.22
1/2/2024,New York,3440.96,2449.3,1295.12,3367.59,58.42
1/2/2024,Los Angeles,13508.63,6579.63,3508.54,9025.18,67.25
1/2/2024,Chicago,20269.04,19724.22,3975.14,29167.4,50.68
1/2/2024,Houston,15962.12,2608.14,3972.26,1566.12,85.96
1/2/2024,San Francisco,7423.56,7334.7,1145.59,13048.7,50.3
1/2/2024,Miami,9670.49,28885.77,7469.61,33194.14,25.08
1/2/2024,Seattle,15925.04,11195.22,6878.87,15886.02,58.72
1/2/2024,Denver,49184.87,7413.39,16477.28,5095.3,86.9
1/2/2024,Boston,10453.63,18215.63,5951.39,23297.01,36.46
1/2/2024,Dallas,25577.15,31940.11,12910.4,43187.04,44.47
1/2/2024,Atlanta,18725.94,32635.32,10879.31,16271.98,36.46
1/2/2024,Phoenix,10411.64,22200.62,9778.74,11593.34,31.93
1/2/2024,Las Vegas,18887.65,18716.61,4133.53,19202.74,50.23
1/2/2024,San Diego,12601.79,26830.47,11018.8,7573.27,31.96
1/2/2024,Philadelphia,25570.77,2188.49,4070.16,2918.69,92.12
1/2/2024,Portland,37108.07,13711.19,5831.11,23296.53,73.02
1/2/2024,Austin,16717.38,24283.88,9768.22,21152.88,40.77
1/2/2024,Detroit,2533.1,7714.16,2896.19,6437.08,24.72
1/2/2024,Charlotte,5024.25,2700.01,1761.68,4168.2,65.05
1/2/2024,Nashville,40341.5,5773.76,4039.15,6362.72,87.48
1/2/2024,Baltimore,4123.99,3673.27,2253.79,6186.17,52.89
1/2/2024,Indianapolis,6795.27,2074.99,1892.31,1096.11,76.61
1/2/2024,Orlando,17114.74,27500.52,4500.36,18798.14,38.36
1/2/2024,San Antonio,45579.52,4942.74,4466.67,2752.82,90.22
1/2/2024,Columbus,26303.49,5327.77,7889.85,5177.62,83.16
1/3/2024,New York,14756.27,3500.66,1600.43,3904.96,80.83
1/3/2024,Los Angeles,1304.47,4684.46,987.33,4494.66,21.78
1/3/2024,Chicago,16414.72,8237.21,1820.74,14209.93,66.59
1/3/2024,Houston,2896.64,5377.29,2321.6,5394.52,35.01
1/3/2024,San Francisco,5447.58,2031.35,770.53,1543.68,72.84
1/3/2024,Miami,2865.28,4791.65,1868.22,2683.65,37.42
1/3/2024,Seattle,2186.84,8434.09,3007.33,6069.85,20.59
1/3/2024,Denver,9520.88,5855.05,1976.58,8192.73,61.92
1/3/2024,Boston,7925.86,5684.07,1656.01,3007.12,58.24
1/3/2024,Dallas,1777.39,5251.54,1469.06,2388.14,25.29
1/3/2024,Atlanta,5348.24,11983.69,2036.84,21352.3,30.86
1/3/2024,Phoenix,7082.95,6429.98,1269.88,3246.43,52.42
1/3/2024,Las Vegas,17587.47,11670.46,6145.74,14967.8,60.11
1/3/2024,San Diego,3202.65,9943.28,3331.85,8734.12,24.36
1/3/2024,Philadelphia,3282.56,9262.37,1263.82,2453.41,26.17
1/3/2024,Portland,22732.42,9660.51,7723.31,3646.85,70.18
1/3/2024,Austin,2536.88,4230.05,1555.02,4066.91,37.49
1/3/2024,Detroit,16521.12,13430.81,2917.08,7200.15,55.16
1/3/2024,Charlotte,13962.55,20581.38,8683.52,18430.1,40.42
1/3/2024,Nashville,50864.84,4504.09,9082.64,7332.39,91.87
1/3/2024,Baltimore,16383.29,11420.64,5545.99,12324.5,58.92
1/3/2024,Indianapolis,33535.89,18896.04,6248.85,31242.92,63.96
1/3/2024,Orlando,32328.46,17360.47,13573.98,19313.19,65.06
1/3/2024,San Antonio,2388.86,8350.07,3031.65,14518.67,22.24
1/3/2024,Columbus,12864.15,9542.78,3868.76,4363.53,57.41
1/4/2024,New York,5495.8,5266.27,3208.1,8805.97,51.07
1/4/2024,Los Angeles,6554.64,3575.43,722.9,6242.67,64.7
1/4/2024,Chicago,3163.33,4203.74,2024.39,2292.93,42.94
1/4/2024,Houston,13409.52,7183.55,5567.55,1824.35,65.12
1/4/2024,San Francisco,5686.24,20095.83,2140.14,34000.1,22.06
1/4/2024,Miami,7693.62,945.45,1070.75,490.52,89.06
1/4/2024,Seattle,45395.67,4246.4,6796.98,4711.54,91.45
1/4/2024,Denver,17374.63,2121.44,3675.23,2688.5,89.12
1/4/2024,Boston,2397.07,3869,1444.69,5731.37,38.25
1/4/2024,Dallas,6771.67,458.4,1131,249.63,93.66
1/4/2024,Atlanta,37344.63,5332.44,4993.04,5447.28,87.51
1/4/2024,Phoenix,7303.64,2509.43,1496.8,509.13,74.43
1/4/2024,Las Vegas,22905.01,24111.06,11822.76,9818.34,48.72
1/4/2024,San Diego,5011.61,5303.46,1764.56,6835.59,48.59
1/4/2024,Philadelphia,11832.68,3050.39,4423.15,2064.69,79.5
1/4/2024,Portland,5160.3,1141.77,540.39,1111.29,81.88
1/4/2024,Austin,42621.95,18846.12,5485.33,21963.11,69.34
1/4/2024,Detroit,6173.02,1238.05,839.96,1653.5,83.29
1/4/2024,Charlotte,7814.38,22247.69,8030.58,15766.3,25.99
1/4/2024,Nashville,31203.99,2847.08,9242.98,4007.68,91.64
1/4/2024,Baltimore,11454.39,12802.68,6806.06,13085.12,47.22
1/4/2024,Indianapolis,9371.47,792.6,1550.17,1307.24,92.2
1/4/2024,Orlando,9733.12,25056.95,2808.67,33707.69,27.98
1/4/2024,San Antonio,14554.21,14490.86,3143.89,22752.18,50.11
1/4/2024,Columbus,8773.88,17224.19,5994.82,19995.98,33.75
1/5/2024,New York,32456.71,19862.7,12165.16,14446.64,62.04
1/5/2024,Los Angeles,3453.82,8170.59,2530.9,4000.73,29.71
1/5/2024,Chicago,23982.32,10390.09,3242.65,4687.96,69.77
1/5/2024,Houston,20547.41,1670,6019.34,2346.43,92.48
1/5/2024,San Francisco,37905.68,23593.73,5607.54,9349.03,61.64
1/5/2024,Miami,11537.52,4394.89,3150.03,7047.63,72.42
1/5/2024,Seattle,28623.46,19029.95,11077.7,19268.54,60.07
1/5/2024,Denver,2540.18,7632.23,2714.25,5668.01,24.97
1/5/2024,Boston,8680.78,11400.63,2441.35,19692.46,43.23
1/5/2024,Dallas,4685.22,4945.19,2265.58,8872.69,48.65
1/5/2024,Atlanta,36675.55,25197.86,10174.71,6535.26,59.28
1/5/2024,Phoenix,6330.92,9939.49,2612.43,9538.53,38.91
1/5/2024,Las Vegas,36316.1,17423.31,15114.56,11217.43,67.58
1/5/2024,San Diego,8687.45,7866.96,1753.9,5954.1,52.48
1/5/2024,Philadelphia,18242.12,10311.29,7067.03,6954.25,63.89
1/5/2024,Portland,31319.07,20903.34,9410.13,21848.67,59.97
1/5/2024,Austin,16031.78,36842.63,8194.87,57715.03,30.32
