Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
7/1/2023,New York,6967.16,12018.18,4631.16,4987.78,36.7
7/1/2023,Los Angeles,5249.58,2332.76,1201.54,963.5,69.23
7/1/2023,Chicago,18561.22,4601.73,2409.6,6658.37,59.57
7/1/2023,Houston,4136.49,5306.85,1517.31,5129.5,43.8
7/1/2023,San Francisco,14483.62,31347.72,11086.55,36710.05,31.6
7/1/2023,Miami,1734.34,4171,533.91,5799.22,29.37
7/1/2023,Seattle,14108.04,33601.3,6448.69,31038.3,29.57
7/1/2023,Denver,1670.97,5921.37,802.01,6908.91,22.01
7/1/2023,Boston,7911,21336.34,4446.56,29657.2,27.05
7/1/2023,Dallas,28359.3,6450.04,3296.71,8650.92,81.47
7/1/2023,Atlanta,22757.41,15704.93,3470.31,20581.16,59.17
7/1/2023,Phoenix,3697.72,10406.62,2674.25,10985.17,26.22
7/1/2023,Las Vegas,6122.44,7924.9,1624.08,8040.66,43.58
7/1/2023,San Diego,2864.47,3629.87,1438.49,3431.71,44.11
7/1/2023,Philadelphia,4585.76,7012.58,2166.85,6372.04,39.54
7/2/2023,New York,4915.89,5361.95,2219.95,6169.65,47.83
7/2/2023,Los Angeles,14559.25,4063.59,2507.26,5417.42,78.18
7/2/2023,Chicago,8497.6,6250.04,1812.29,2636.71,21.86
7/2/2023,Houston,20800.13,3825.71,2108.55,3142.09,84.46
7/2/2023,San Francisco,23467.51,22125.33,11219.54,23985.7,51.47
7/2/2023,Miami,5737.19,20964.65,2671.97,19488.83,21.49
7/2/2023,Seattle,12073.48,38182.36,4866,49086.17,24.02
7/2/2023,Denver,16478.97,13580.87,5346.61,15730.04,54.82
7/2/2023,Boston,6645.13,6175.71,1634.21,7057.59,51.83
7/2/2023,Dallas,11592.79,4529.05,1507.58,4100.94,71.91
7/2/2023,Atlanta,6977.72,16382.12,3863.4,19486.32,29.87
7/2/2023,Phoenix,16533.35,18208.49,3221.34,6716.86,47.59
7/2/2023,Las Vegas,8223.71,13575.13,2927.59,13570.09,37.73
7/2/2023,San Diego,10909.04,28845.8,5268.78,17237.12,27.44
7/2/2023,Philadelphia,3089.77,6195.07,1037.57,2800.57,33.28
7/3/2023,New York,15433.62,16754.66,5052.7,24070.08,47.95
7/3/2023,Los Angeles,6891.44,5390.84,2464.5,4556.71,56.11
7/3/2023,Chicago,34103.2,2626.68,2096.46,863.62,84.71
7/3/2023,Houston,28648.39,20727.89,4342.62,13034.11,58.02
7/3/2023,San Francisco,12047.36,26447.92,7957.65,26519.44,31.3
7/3/2023,Miami,13986.26,3789.02,3864.28,4964.81,78.68
7/3/2023,Seattle,3303.1,5530.18,1886.69,4790.34,37.39
7/3/2023,Denver,19450.88,18779.4,9101.42,17163.51,50.88
7/3/2023,Boston,25690.98,3767.3,4895.41,2368.44,87.21
7/3/2023,Dallas,3100.22,3083.06,1378.64,2809.75,50.14
7/3/2023,Atlanta,4562.68,2684.6,1757.44,2133.07,62.96
7/3/2023,Phoenix,18624.52,21638.76,6368.62,7397.69,46.26
7/3/2023,Las Vegas,14828.51,1743.77,2622.46,1850.33,89.48
7/3/2023,San Diego,4643.92,1827.36,1446.96,1246.21,71.76
7/3/2023,Philadelphia,10971.41,6816.87,4411.86,3615.34,61.68
7/4/2023,New York,26035.08,4704.63,6140.93,6590.91,84.7
7/4/2023,Los Angeles,20039.85,16900.86,8597.84,13774.93,54.25
7/4/2023,Chicago,34918.02,5848.7,4569.56,5765.2,71.89
7/4/2023,Houston,18764.41,12762.3,2639.68,14668.21,59.52
7/4/2023,San Francisco,6773.58,24577.13,5194.48,17225.69,21.61
7/4/2023,Miami,10004.58,4010.13,1745.56,5968.16,71.39
7/4/2023,Seattle,6347.34,7109.37,2655.35,4493.78,47.17
7/4/2023,Denver,4783.23,5152.48,1603.62,6091.88,48.14
7/4/2023,Boston,5196.33,4557.38,2069.84,1697.06,53.28
7/4/2023,Dallas,14968.43,2454.28,3532.41,2546.55,85.91
7/4/2023,Atlanta,4733.94,2527.77,920.47,2062.96,65.19
7/4/2023,Phoenix,11971.52,22511.19,3715.67,6888.96,34.72
7/4/2023,Las Vegas,25718.74,11941.97,4784.96,16311.2,68.29
7/4/2023,San Diego,1566.8,6110.91,698.27,3366.04,20.41
7/4/2023,Philadelphia,12509.46,30185.25,9691.07,38380.68,29.3
7/5/2023,New York,3564.11,7453.83,1763.01,6173.91,32.35
7/5/2023,Los Angeles,10644.9,8817.04,1973.15,12697.26,54.7
7/5/2023,Chicago,10894,8129.94,2688.6,4545.46,26.6
7/5/2023,Houston,4187.65,12051.29,1565.81,12962.24,25.79
7/5/2023,San Francisco,9669.12,6739.82,3133.27,9359.37,58.93
7/5/2023,Miami,34987.63,9730.31,8662.31,9356.46,78.24
7/5/2023,Seattle,10868.33,35511.61,7440.6,12587.8,23.43
7/5/2023,Denver,9930.9,4851.04,2768.2,2652.38,67.18
7/5/2023,Boston,34152.32,13173.62,9877.99,8456.13,72.16
7/5/2023,Dallas,14047.54,6848.4,3939.73,6188.31,67.23
7/5/2023,Atlanta,12279.19,2583.75,1997.8,1713.17,82.62
7/5/2023,Phoenix,6660.74,19475.2,4455.36,17625.48,25.48
7/5/2023,Las Vegas,18020.21,18711.73,8673.84,25944.59,49.06
