Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
6/1/2023,New York,20547.79,4302.55,4095.33,5393.21,82.69
6/1/2023,Los Angeles,2958.85,6095.49,834.85,9036.56,32.68
6/1/2023,Chicago,10330.2,18850.14,7023.53,22403.53,35.4
6/1/2023,Houston,19845.34,16066,8294.55,12705.81,55.26
6/1/2023,San Francisco,15002.89,23799.45,5496.29,13912.16,38.66
6/1/2023,Miami,22734.33,5130.01,3924.66,5686.79,81.59
6/1/2023,Seattle,9121.5,4112.84,3230.49,5994.07,68.92
6/1/2023,Denver,6616.28,1473.06,874.77,482.55,81.79
6/1/2023,Boston,11090.46,3765.88,2847.01,3506.45,74.65
6/1/2023,Dallas,6543.19,18657.15,6242.25,6864.88,25.96
6/1/2023,Atlanta,7105.31,6695.03,2053.85,6560.63,51.49
6/1/2023,Phoenix,23498.99,5427.35,2351.5,4362.89,81.24
6/1/2023,Las Vegas,23613.77,8961.57,4829.5,12948.51,72.49
6/1/2023,San Diego,3924.1,2955.24,820.23,4051.08,57.04
6/1/2023,Philadelphia,6966.22,2444.12,1499.13,1359.2,74.03
6/2/2023,New York,7475.73,1378.11,808.28,505.38,84.43
6/2/2023,Los Angeles,5056.16,11010.68,1330.54,13186.61,31.47
6/2/2023,Chicago,25969.34,9869.5,5453.05,7490.89,72.46
6/2/2023,Houston,23978.64,6161.2,6892.81,8450.93,79.56
6/2/2023,San Francisco,2541.64,4238.2,1604.22,1550.77,37.49
6/2/2023,Miami,15642.98,17171.86,3745.6,14611.64,47.67
6/2/2023,Seattle,23916.92,6190.92,6392.66,6567.2,79.44
6/2/2023,Denver,14184.71,2312.13,2750.84,772.42,85.98
6/2/2023,Boston,5854.99,1082.85,1096.68,993.39,84.39
6/2/2023,Dallas,33768.04,12708.8,11388.92,5902.7,72.66
6/2/2023,Atlanta,32381.94,3794.9,7301.68,5118.63,89.51
6/2/2023,Phoenix,28507.64,12349.2,3676.51,5962.89,69.77
6/2/2023,Las Vegas,5930.54,5016.3,1993.31,5807.29,54.18
6/2/2023,San Diego,2874.78,10122.06,1213.86,3353.69,22.12
6/2/2023,Philadelphia,9681.14,4050.7,1482.95,1659.48,70.5
6/3/2023,New York,4627.18,4338.1,1231.39,1924.5,51.61
6/3/2023,Los Angeles,31992.18,11317.1,8457.87,3738.23,73.87
6/3/2023,Chicago,3538,6770.28,975.27,7957.88,34.32
6/3/2023,Houston,6480.22,1020.06,1610.87,1238.19,86.4
6/3/2023,San Francisco,9817.53,5124.75,1448.91,2853.02,65.7
6/3/2023,Miami,8843.45,11831.83,2027.45,6619.31,42.77
6/3/2023,Seattle,4448.78,6473.5,2615.78,5706,40.73
