Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
3/1/2024,New York,12197.56,13790.45,5141.72,9499.23,46.94
3/1/2024,Los Angeles,14654.67,28191.34,9124.48,38706.2,34.2
3/1/2024,Chicago,9903.94,10240.07,2267.61,3801.96,49.17
3/1/2024,Houston,35334.72,3217.29,6988.99,2209.35,91.65
3/1/2024,San Francisco,16881.08,38253.93,6530.21,17779.13,30.62
3/1/2024,Miami,34011.7,1966.31,4532.41,1592.82,94.53
3/1/2024,Seattle,5482.42,2584.59,2337.74,1500.53,67.96
3/1/2024,Denver,7779.88,10514.13,3131.02,10644.2,42.53
3/1/2024,Boston,2735.26,3304.75,1153.07,1035.07,45.29
3/1/2024,Dallas,35920.42,23023.59,14258.89,33751.86,60.94
3/1/2024,Atlanta,43140.87,9964.14,4868.04,14752.92,81.24
3/1/2024,Phoenix,8832.01,8552,3655.83,2947.08,50.81
3/1/2024,Las Vegas,31401.46,18272.55,14097.95,14947.68,63.22
3/1/2024,San Diego,28978.32,18678.69,7558.15,30414.47,60.81
3/1/2024,Philadelphia,2755.64,2237.37,506.87,814.18,55.19
3/1/2024,Portland,6276.18,8689.83,1658.6,14499.56,41.94
3/1/2024,Austin,6217.31,3893.7,756.38,5875.93,61.49
3/1/2024,Detroit,1280.71,4284.3,1601.95,7468.76,23.01
3/1/2024,Charlotte,3138.86,5540.15,2515.63,5845.12,36.17
3/1/2024,Nashville,3352.79,1734.22,587.91,2139.04,65.91
3/1/2024,Baltimore,9071.39,2667.62,1168.25,4155.49,77.28
3/1/2024,Indianapolis,5680.93,427.08,1133.29,460.44,93.01
3/1/2024,Orlando,17109.39,23421.62,10839.46,8584.17,42.21
3/1/2024,San Antonio,20220.73,19573.28,8855.56,30645.02,50.81
3/1/2024,Columbus,23932.43,18198.58,4164.55,4900.25,56.8
3/2/2024,New York,35590.25,18782.01,7836.73,5276.57,65.46
3/2/2024,Los Angeles,6844.03,679.23,748.43,776.43,90.97
3/2/2024,Chicago,12521.63,19301.63,6836.57,19805.83,39.35
3/2/2024,Houston,3227.55,6351.71,1615.37,6384.28,33.69
3/2/2024,San Francisco,8454.98,3800.28,1732.35,5597.32,68.99
3/2/2024,Miami,31724.02,23816.24,6015.69,36656.84,57.12
3/2/2024,Seattle,18697.24,30216.02,7579.37,48737.47,38.23
3/2/2024,Denver,12568.35,36466.91,13482.25,26604.15,25.63
3/2/2024,Boston,3931.89,6557.37,2381.29,6553.1,37.48
3/2/2024,Dallas,6429.85,7200.41,3367.54,11913.79,47.17
3/2/2024,Atlanta,10568.44,9406.82,1465.13,9508.17,52.91
3/2/2024,Phoenix,20035.68,30719.58,14849.29,42653.28,39.48
3/2/2024,Las Vegas,8626.7,2305.56,1632.2,3209.25,78.91
3/2/2024,San Diego,41184.47,12284.79,13195.69,2514.34,77.02
3/2/2024,Philadelphia,22364.89,6294.37,5290.53,9309.82,78.04
3/2/2024,Portland,6497.13,4500.13,2989.38,7619.78,59.08
3/2/2024,Austin,9620.23,7851.03,4612.27,13405.84,55.06
3/2/2024,Detroit,1952.2,6197.06,768.48,4340.9,23.96
3/2/2024,Charlotte,6962.44,2935.82,852.88,2259.4,70.34
3/2/2024,Nashville,5404.27,5213.99,3122.47,4309.94,50.9
3/2/2024,Baltimore,11671.12,5251.14,3056.23,6325.06,68.97
3/2/2024,Indianapolis,3130.33,2438.93,888.54,3351.16,56.21
3/2/2024,Orlando,9365.34,1744.92,2732.14,2734.35,84.29
3/2/2024,San Antonio,7060.25,613.01,651.4,672.04,92.01
3/2/2024,Columbus,7851.13,18473.13,4350.17,27228.89,29.82
3/3/2024,New York,4349.38,5728.55,2364.59,9127.77,43.16
3/3/2024,Los Angeles,3641.1,13055.83,1902.92,7198.62,21.81
3/3/2024,Chicago,7137.41,8305.52,2709.03,7900.62,46.22
3/3/2024,Houston,33065.56,27089.37,8375.99,12032.54,54.97
3/3/2024,San Francisco,9005.9,3110.03,1065.32,1580.06,74.33
3/3/2024,Miami,3923.12,3905.81,1540.64,2473.15,50.11
3/3/2024,Seattle,14855.25,25676.68,7921.36,41513.12,36.65
3/3/2024,Denver,22487.66,7507.27,8564.86,5950.68,74.97
3/3/2024,Boston,14474.87,3687.06,4900.65,4707.34,79.7
3/3/2024,Dallas,2348.86,3733.07,1615.57,4106.42,38.62
3/3/2024,Atlanta,3068.92,10942.01,1179.02,5016.41,21.9
3/3/2024,Phoenix,5429.59,5580.34,1776.72,1707.63,49.32
3/3/2024,Las Vegas,11759.73,7132.2,5143.51,8321.93,62.25
3/3/2024,San Diego,4209.37,13392.56,2440.55,12847.23,23.91
3/3/2024,Philadelphia,31365.54,3638.39,9048.74,2183.15,89.61
3/3/2024,Portland,16514.19,38522.74,14150.53,21221.49,30.01
3/3/2024,Austin,5865.06,22740.87,6009.29,4856.82,20.5
3/3/2024,Detroit,19151.73,11141.2,3443.03,13535.74,63.22
3/3/2024,Charlotte,20992.07,24749.86,5748.46,19374.64,45.89
3/3/2024,Nashville,6063.97,12138.96,4433.86,11433.81,33.31
3/3/2024,Baltimore,8474.17,7087.76,1458.24,2123.51,54.45
3/3/2024,Indianapolis,10689.11,9664.82,2349.5,10558.81,52.52
3/3/2024,Orlando,7862.08,2636.85,1420.56,4541.01,74.88
3/3/2024,San Antonio,31558.35,14570.58,10569.56,19292.31,68.41
3/3/2024,Columbus,8026.26,5294.67,3240.5,5242.24,60.25
3/4/2024,New York,20381.36,6000.71,5050.29,10178.95,77.25
3/4/2024,Los Angeles,2983.64,6509.43,1017.62,8027.58,31.43
3/4/2024,Chicago,5762.73,1635.34,1303.27,941.64,77.9
3/4/2024,Houston,14629.17,43302.9,8619.97,46497.9,25.25
3/4/2024,San Francisco,1604.59,4935.48,1335.05,3165.44,24.53
3/4/2024,Miami,34291.44,27090.63,18291.14,47895.87,55.87
3/4/2024,Seattle,24849.13,22007.94,4858.59,33857.67,53.03
3/4/2024,Denver,9064.23,17701.84,7639.3,31058,33.86
3/4/2024,Boston,11250.75,32533.32,3851.54,31475.91,25.7
3/4/2024,Dallas,30724.09,8000.98,5377.98,10937.04,79.34
3/4/2024,Atlanta,11728.03,3487.04,3805.2,3798.9,77.08
3/4/2024,Phoenix,37187.53,4875.54,6243.58,5159.52,88.41
3/4/2024,Las Vegas,23213.47,7835.6,2978.01,4877.57,74.76
3/4/2024,San Diego,3850.25,8282.82,3449.45,7304.52,31.73
3/4/2024,Philadelphia,46628.07,10095,7560.28,8239.27,82.2
3/4/2024,Portland,7760.12,1354.95,915.39,1553.87,85.14
3/4/2024,Austin,34488.2,18010.87,10167.71,21036.82,65.69
3/4/2024,Detroit,14887.95,13621.12,2926.89,23183.53,52.22
3/4/2024,Charlotte,7016.4,10100.67,2223.01,12406.04,40.99
3/4/2024,Nashville,18267.27,31026.8,11061.65,14864.43,37.06
3/4/2024,Baltimore,25443.12,35666.95,11986.15,26025.28,41.63
3/4/2024,Indianapolis,26911.57,34876.5,12898.88,27547.44,43.55
3/4/2024,Orlando,3234.86,3690.21,1474.79,4236.14,46.71
3/4/2024,San Antonio,1492.28,5383.79,1392.36,7860.73,21.7
3/4/2024,Columbus,8367.21,25072.86,3325.14,26620.9,25.02
3/5/2024,New York,20670.03,22685.38,10690.17,15417.59,47.68
3/5/2024,Los Angeles,5081.79,2802.62,1564.33,4921.68,64.45
3/5/2024,Chicago,15179.17,6457.24,4144.45,2225.32,70.16
3/5/2024,Houston,45175.84,4360.57,6382.01,4228.38,91.2
3/5/2024,San Francisco,23599.13,12037.28,8494.25,6776.3,66.22
3/5/2024,Miami,5573.08,12455.33,2598.99,12971.77,30.91
3/5/2024,Seattle,8886.57,27720.84,5222.12,28848,24.28
3/5/2024,Denver,16043.79,12429.62,4963.29,12056.74,56.35
3/5/2024,Boston,11790.22,2931.19,3178.85,3694.09,80.09
3/5/2024,Dallas,29972.63,10053.78,7538.39,14507.51,74.88
3/5/2024,Atlanta,28614.16,33819.25,7395.07,45940.23,45.83
3/5/2024,Phoenix,34508.44,16138.97,5619.82,5202.3,68.13
3/5/2024,Las Vegas,50700.34,5286.07,16106.52,5135.24,90.56
3/5/2024,San Diego,14229.45,1691.96,4101.63,1205.88,89.37
3/5/2024,Philadelphia,8662.17,1997.24,1605.07,2514.79,81.26
3/5/2024,Portland,45029.49,3332.92,9320.1,1815.07,93.11
3/5/2024,Austin,34012.45,4742.96,6877.26,1475.99,87.76
3/5/2024,Detroit,10586.54,4672.87,1194.46,2042.27,69.38
3/5/2024,Charlotte,13397.15,5220.26,1983.72,6193.75,71.96
