Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
5/1/2023,New York,14393.46,26471.88,8586.28,20884.47,35.22
5/1/2023,Los Angeles,5307.23,15183.11,2969.07,14241.23,25.9
5/1/2023,Chicago,5060.19,20038.15,3677.17,18168.02,20.16
5/1/2023,Houston,2197.41,3671.93,1426.67,2978.59,37.44
5/1/2023,San Francisco,2042.43,6230.91,2065.04,5432.83,24.69
5/1/2023,Miami,5535.74,1313.6,1504.79,1868.58,80.82
5/1/2023,Seattle,4847.38,11440.96,3293.56,5578.29,29.76
5/1/2023,Denver,8074.01,3465.33,1168.18,4029.24,69.97
5/1/2023,Boston,16530.25,24133.09,4053.89,16697.65,40.65
5/1/2023,Dallas,10686.96,7687.38,2024.11,4280.88,58.16
5/1/2023,Atlanta,18198.1,8505.24,2727.79,4906.55,68.15
5/1/2023,Phoenix,31937.25,12027.09,5446.38,4050,72.64
5/1/2023,Las Vegas,2832.47,8627.87,985.25,5937.08,24.72
5/1/2023,San Diego,2334.76,5250.58,1361.08,4992.31,30.78
5/1/2023,Philadelphia,21258.83,28377.51,11415.58,14183.62,42.83
5/2/2023,New York,8764.67,4637.17,3194.63,4493.82,65.4
5/2/2023,Los Angeles,6398.94,8666.9,3468.76,4947.93,42.47
5/2/2023,Chicago,6304.25,11648.59,1804.83,16983.69,35.12
5/2/2023,Houston,23437.53,25047.31,6384.44,14924.95,48.34
5/2/2023,San Francisco,6327.36,8205.48,2587.48,11886.05,43.54
5/2/2023,Miami,33126.97,12865.87,10448.83,4179.29,72.03
5/2/2023,Seattle,3793.32,5842.52,1292.49,8455.57,39.37
5/2/2023,Denver,7340.4,7226.44,3066.92,7058.08,50.39
5/2/2023,Boston,8624.85,4085.99,2637.58,3517.78,67.85
5/2/2023,Dallas,8657.16,3879.68,2249.61,5010.89,69.05
5/2/2023,Atlanta,10885.75,2653.09,2522.81,2305.36,80.4
5/2/2023,Phoenix,11933.52,3868.32,2011.14,5226.87,75.52
5/2/2023,Las Vegas,13195.12,14877.72,2614.35,21997.04,47
5/2/2023,San Diego,15030.25,10359.59,2133.88,6143.98,59.2
5/2/2023,Philadelphia,12381.22,2041.62,2234.96,693.78,85.84
5/3/2023,New York,17771.39,8632.89,4871.25,3801.23,67.3
5/3/2023,Los Angeles,5157.64,2346.64,1027.23,3514.53,68.73
5/3/2023,Chicago,22658.94,5004.34,5855.86,3689.27,81.91
5/3/2023,Houston,6907.07,12407.21,3751.19,18356.27,35.76
5/3/2023,San Francisco,10231.86,7384.42,2437.58,10405.97,58.08
5/3/2023,Miami,2776.35,7866.93,2083.59,5183.14,26.09
5/3/2023,Seattle,2802.12,4377.16,852.89,6038.17,39.03
5/3/2023,Denver,2990.7,4717.58,1087.06,3590.54,38.8
5/3/2023,Boston,30803.97,4007.31,7788.12,3114.37,88.49
5/3/2023,Dallas,4672.41,4644.87,1040.7,2433.42,50.15
5/3/2023,Atlanta,1771.71,5674.57,745.93,5210.05,23.79
5/3/2023,Phoenix,5513.42,6910.86,2830.92,4785.77,44.38
5/3/2023,Las Vegas,21203.99,3869.29,4951.63,4526.21,84.57
5/3/2023,San Diego,16890.2,8077.08,4825.33,12093.57,67.65
5/3/2023,Philadelphia,13782.13,5822.15,2067.56,5317.83,70.3
5/4/2023,New York,15074.25,2181.46,3772.39,2631.29,87.36
5/4/2023,Los Angeles,7901.92,3535.79,2142.48,1477.07,69.09
5/4/2023,Chicago,19649.75,4752.96,5152.7,7107.67,80.52
5/4/2023,Houston,18071.79,10291.92,6775.99,13042.68,63.71
5/4/2023,San Francisco,24473.81,7300.9,6020.46,6437.07,77.02
5/4/2023,Miami,24307.99,9502.72,3904.61,10108.11,71.89
5/4/2023,Seattle,2905.19,8417.52,1283.53,8804.59,25.66
5/4/2023,Denver,31255.72,8017.99,3514.69,10633.88,79.58
5/4/2023,Boston,1445.22,5523.49,1526.39,2609.37,20.74
5/4/2023,Dallas,9000.62,13970.09,4035.04,14299.91,39.18
5/4/2023,Atlanta,7544.44,1024.27,1152.55,1128.04,88.05
5/4/2023,Phoenix,6670.47,10491.24,4077.38,6262.88,38.87
5/4/2023,Las Vegas,10309.46,9330.25,1682.2,4171.66,52.49
5/4/2023,San Diego,40341.51,7674.2,6976.86,4533.21,84.02
