Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
10/1/2023,New York,9572.47,2818.87,1487.85,2118.92,77.25
10/1/2023,Los Angeles,18909.72,29587.62,5371.78,34641.48,38.99
10/1/2023,Chicago,3952.42,8722.92,1833.1,11640.26,31.18
10/1/2023,Houston,11983.87,8665.47,1998.09,3800.48,58.04
10/1/2023,San Francisco,2949.39,10995.95,2728.88,4582.12,21.15
10/1/2023,Miami,3143.29,8367.05,1575.17,10471.25,27.31
10/1/2023,Seattle,12180.74,9844.6,3451.59,9373.68,55.3
10/1/2023,Denver,7249.84,27673.5,8706.66,23922.53,20.76
10/1/2023,Boston,34301.49,10498.85,8921.83,11058.49,76.57
10/1/2023,Dallas,18672.72,3592.62,5282.92,4013.69,83.86
10/1/2023,Atlanta,37483.79,6948.55,5227.69,3131.12,84.36
10/1/2023,Phoenix,23143.15,6070.19,4953.9,7982.9,79.22
10/1/2023,Las Vegas,21476.29,9697.05,4182.46,7754.44,68.89
10/1/2023,San Diego,8652.58,33165.76,4524.19,17897.13,20.69
10/1/2023,Philadelphia,21869.07,4182.27,3882.3,3831.04,83.95
10/2/2023,New York,15282.16,7091.68,4826.63,2746.88,68.3
10/2/2023,Los Angeles,14393.15,6429.69,2526.87,4460.24,69.12
10/2/2023,Chicago,5229.83,8070.01,3206.51,9160.81,39.32
10/2/2023,Houston,7311.56,11249.28,2919.33,6301.84,39.39
10/2/2023,San Francisco,13636.58,3681.26,3223.98,1502.89,78.74
10/2/2023,Miami,6387.45,1830.39,1238.71,1133.06,77.73
10/2/2023,Seattle,10492.69,12519.15,4171.24,13203.1,45.6
10/2/2023,Denver,2575.84,8810,1057.95,9722.31,22.62
10/2/2023,Boston,7079.63,6302.21,3229.87,6378.25,52.9
10/2/2023,Dallas,14690.02,21437.82,6906.32,15810.39,40.66
10/2/2023,Atlanta,4544.8,5538.04,1755.49,4635.25,45.07
10/2/2023,Phoenix,43322.77,7069.07,5575.53,7494.19,85.97
10/2/2023,Las Vegas,3728.08,6855.76,1161.51,5627.29,35.22
10/2/2023,San Diego,10964.6,3164.24,2990.7,1397.87,77.6
10/2/2023,Philadelphia,4533.86,8470.98,2759.95,5981.34,34.86
10/3/2023,New York,13549.74,3420.54,1478.23,3290.54,79.84
10/3/2023,Los Angeles,20875.93,21294.35,6555.83,20677.04,49.5
10/3/2023,Chicago,6645.99,4029.29,1763.93,2643,62.26
10/3/2023,Houston,13670.76,2376.52,3510.77,2942.85,85.19
10/3/2023,San Francisco,15897.22,7177.06,5023.56,8460.45,68.9
10/3/2023,Miami,20195.2,4924.08,3428.68,6988.5,80.4
10/3/2023,Seattle,5100.58,8420.7,2850.56,5984.09,37.72
10/3/2023,Denver,4750.69,7562.59,2110.32,10293.66,38.58
10/3/2023,Boston,3812.99,5910.29,1552.54,3367.06,39.22
10/3/2023,Dallas,6374,1375.28,1413.33,1124.88,82.25
10/3/2023,Atlanta,6067.39,5651.89,1628.44,7690.21,51.77
10/3/2023,Phoenix,3663.29,5057.99,2157.77,7170.04,42
