Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
9/1/2023,New York,11825.04,3879.3,2422.11,5412.18,75.3
9/1/2023,Los Angeles,11224.77,5487.57,3143,7170.59,67.16
9/1/2023,Chicago,9852.38,9338.15,1390.95,8336.43,29.6
9/1/2023,Houston,13163.4,20034.94,7467.39,20243.02,39.65
9/1/2023,San Francisco,14560.83,5929.51,3709.74,4265.74,71.06
9/1/2023,Miami,17600.15,3782.19,2930.48,3042.89,82.31
9/1/2023,Seattle,8101.87,1419.47,881.24,1078.38,85.09
9/1/2023,Denver,6519.93,12784.41,3558.19,5113.39,33.77
9/1/2023,Boston,10124.47,1905.87,1134.87,1034.83,84.16
9/1/2023,Dallas,8874.71,7360.63,3780.02,6684.22,54.66
9/1/2023,Atlanta,8769.08,4887.26,2753.77,6220.71,64.21
9/1/2023,Phoenix,8982.38,1250.96,1311.17,1569.09,87.78
9/1/2023,Las Vegas,12214.95,1971.39,1143.24,2790.19,86.1
9/1/2023,San Diego,18802.86,4841.48,4283.46,6710.31,79.52
9/1/2023,Philadelphia,38364.38,5916.96,4411.18,4214.76,86.64
9/2/2023,New York,4053.03,1909.81,1262.02,2750.63,67.97
9/2/2023,Los Angeles,11970.05,5770.79,3978.57,2260.39,67.47
9/2/2023,Chicago,18925.5,6569.09,3160.92,9495.66,56.3
9/2/2023,Houston,16723.69,3063.15,4323.25,2573.08,84.52
9/2/2023,San Francisco,3005.09,5469.75,1813.54,4239,35.46
9/2/2023,Miami,9977.98,22124.86,3699.71,10665.67,31.08
9/2/2023,Seattle,35587.38,6636.46,9910.06,8236.09,84.28
9/2/2023,Denver,6560.37,5166.47,992.68,2572.6,55.94
9/2/2023,Boston,15340.02,5633.82,3762.21,8147.33,73.14
9/2/2023,Dallas,2420.36,9479.48,1002.13,13281.75,20.34
9/2/2023,Atlanta,10774.38,5072.46,2058.51,1945.2,67.99
9/2/2023,Phoenix,6358.35,6861.49,2624.61,7758.65,48.1
9/2/2023,Las Vegas,20597.34,4015.5,5754.61,3746.3,83.69
9/2/2023,San Diego,11741.12,14670.72,2168.12,8037.35,44.45
9/2/2023,Philadelphia,22834.96,7267.88,2760.36,2213.43,75.86
9/3/2023,New York,8416.8,1969.48,2501.51,2366.7,81.04
9/3/2023,Los Angeles,6477.04,7383.24,2574.1,2415.91,46.73
9/3/2023,Chicago,6689.74,3886.41,679.63,3864.19,37.63
9/3/2023,Houston,16831.97,30983.31,11875.42,34328.85,35.2
9/3/2023,San Francisco,26639.11,17224.17,9275.56,8663,60.73
9/3/2023,Miami,8157.86,2709.42,1208.77,3802.92,75.07
9/3/2023,Seattle,3799.28,7532,1572.73,9564.14,33.53
9/3/2023,Denver,12610.92,3343.36,2992.79,2865.93,79.04
9/3/2023,Boston,13835.89,8369.39,2611.19,9071.15,62.31
9/3/2023,Dallas,19099.85,6867.43,5100.24,2499.09,73.55
9/3/2023,Atlanta,9279.47,6130.81,1859.42,9182.61,60.22
9/3/2023,Phoenix,3547.83,12964.45,3684.68,5089.82,21.49
9/3/2023,Las Vegas,15009.85,11202.43,4094.6,12226.55,57.26
9/3/2023,San Diego,23901.48,7749.8,5781.54,3473.29,75.52
9/3/2023,Philadelphia,18009.13,3839.15,2132.82,3605.07,82.43
9/4/2023,New York,14067.53,14901.18,4509.48,20647.93,48.56
9/4/2023,Los Angeles,15958.94,25987.77,8782.5,32683.07,38.05
9/4/2023,Chicago,56604.1,13266.66,5988.21,16921.69,67.3
9/4/2023,Houston,6678.72,7363.99,2197.65,5985.25,47.56
9/4/2023,San Francisco,5428.64,10047.07,3084.5,13680.56,35.08
9/4/2023,Miami,9985.57,5607.14,2444.28,6081.42,64.04
9/4/2023,Seattle,4059.4,12302.31,2129.42,7052.03,24.81
9/4/2023,Denver,10180.39,28773.32,4513.5,37273.37,26.13
9/4/2023,Boston,2900.19,6051.52,1361.36,7835.37,32.4
9/4/2023,Dallas,18159.4,5837.31,5663.9,7144.12,75.67
9/4/2023,Atlanta,8277.2,3951.51,2858.02,4596.87,67.69
9/4/2023,Phoenix,7841.91,2118.8,924.09,3100.91,78.73
9/4/2023,Las Vegas,39054.64,9289.07,10407.75,11258.62,80.79
9/4/2023,San Diego,26435.23,9943.48,7243.41,3094.09,72.67
9/4/2023,Philadelphia,2782.79,6094.92,1866.09,2150.51,31.35
9/5/2023,New York,22626.06,15679.88,3276.61,5751.36,59.07
9/5/2023,Los Angeles,22961.3,8432.64,4410.33,7376.57,73.14
9/5/2023,Chicago,79676.76,8081.56,10544.64,12027.16,82.78
9/5/2023,Houston,7939.25,4865.69,1780.53,3426.12,62
9/5/2023,San Francisco,5807.76,2737.18,874.37,3418.81,67.97
9/5/2023,Miami,13894.45,8143.49,4813.42,4472.22,63.05
9/5/2023,Seattle,8851.97,8617.97,1460.68,6724.62,50.67
9/5/2023,Denver,18946.78,5266.16,5596.57,7322.99,78.25
9/5/2023,Boston,1751.42,6396.52,2015.25,2760,21.5
9/5/2023,Dallas,36562.02,13892.92,11114.9,7597.91,72.46
9/5/2023,Atlanta,2531.08,6529.86,2049.72,8405.99,27.93
9/5/2023,Phoenix,6850.43,3657.51,898.02,5379.91,65.19
9/5/2023,Las Vegas,23584.15,8593.79,7164.76,4331.28,73.29
9/5/2023,San Diego,8088.28,12681.66,5008.18,18020.08,38.94
9/5/2023,Philadelphia,10965.37,1896.57,1936.95,991.54,85.25
9/6/2023,New York,5614.31,19665.77,5176.8,26267.01,22.21
9/6/2023,Los Angeles,7896.87,6422.21,1270.49,7569.27,55.15
9/6/2023,Chicago,43279.18,8958.49,6557.87,8530.06,69.73
9/6/2023,Houston,5562.4,3271.68,1233.39,4265.35,62.97
9/6/2023,San Francisco,18341.81,9077.27,5225.01,10973.42,66.89
9/6/2023,Miami,10557.15,8515.93,3707.77,4271.46,55.35
9/6/2023,Seattle,35819.3,6112.78,10255.82,2170.23,85.42
